paper	monitor	backdoor	annotation artifact	label noise	mislabel	validity	confound	only the problem	problem description	problem statement	no access to the code	does not see the code	blind	logistic regression	random forest	gradient boosting	feature	unit test	solution passes	backdoor_works	backdoor works	does not actually	non-functional	functional backdoor	succeed	successful backdoor	filter	subset	upper bound	lower bound	floor	ceiling	chance	0.5	length	token count	superficial	surface	heuristic	proxy	dataset construction	datasheet	how the dataset	curat	sanity
1803.02324	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	2	9	0	0	0	10	0	0	0	0	1	0
1805.01042	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	2	0	0	1	0	0	0	0	0	1	0
1808.04926	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
2312.06942	211	366	0	0	0	0	0	0	8	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	24	6	2	0	0	0	0	3	1	0	0	0	2	1	0	0	0	0	1	0
2506.05296	182	170	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	8	10	4	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0
2510.09462	247	51	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	6	0	4	3	0	2	0	0	1	0	7	0	0	1	7	0	0	0	0	1	0
2512.13526	351	5	0	0	0	0	0	0	0	0	0	0	0	0	17	0	11	3	0	0	0	0	0	0	0	0	3	2	5	0	0	0	1	4	1	3	0	0	0	0	0	0	0	0	0
2602.04930	163	33	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	2	5	0	1	0	0	3	12	5	0	0	0	1	0	0	0	0	0	0
2602.10153	140	160	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	13	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
2605.15377	211	52	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	14	4	3	0	1	0	0	9	0	0	0	1	9	0	0	0	0	2	0
2605.26047	144	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	6	0	2	3	0	0	1	0	2	1	3	0	0	1	0	0	0	0	0	2	1
2605.27157	27	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15	2	3	1	0	2	2	78	0	0	0	1	0	1	0	0	0	3	0
2605.29178	154	0	0	0	0	0	3	0	0	0	0	0	4	0	1	0	3	0	0	0	0	1	0	0	11	0	15	18	0	0	1	3	1	2	1	0	0	6	0	0	0	0	0	0	0
2606.06529	56	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	14	4	6	0	0	0	1	2	3	0	0	8	1	0	0	0	0	1	0
2607.06596	195	38	0	0	0	5	10	0	0	0	0	0	0	0	2	2	5	0	0	0	0	0	0	0	1	2	8	1	0	4	4	4	27	35	8	0	0	2	1	6	0	0	0	0	0
2607.14570	111	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	4	0	0	0	0	0	0	0
2608.16190	145	12	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	6	1	1	0	0	0	0	2	0	0	0	0	0
