paper	monitor	 the 	hypothesis-only	partial-input	partial input	problem-only	problem statement only	metadata	without the code	without code	code-only	prompt-only	bag-of-words	tf-idf	construct validity	selection bias	spurious	shortcut	artifact	passes tests	pass the tests	test cases	difficulty	leak	trivial baseline	random baseline	majority
1803.02324	0	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	0	0	0	2
1805.01042	0	341	27	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	20
1808.04926	0	144	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	4	0	0	0	0
2312.06942	211	1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	1
2506.05296	182	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	13	0	0	0	1
2510.09462	247	1115	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	77	0	0	2	1	2	0	0	0
2512.13526	351	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2602.04930	163	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	2
2602.10153	140	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	1
2605.15377	211	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
2605.26047	144	993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	11	0	0	1
2605.27157	27	307	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1
2605.29178	154	768	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1
2606.06529	56	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0
2607.06596	195	810	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	16	0	0	0	7	40	0	0	0
2607.14570	111	259	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
2608.16190	145	293	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	1	0	0	3
