paper	monitor	 the 	bag-of-words	bag of words	n-gram	ngram	tf-idf	logistic	length	longer	comment	human-written	human written	authorship	style	stylistic	machine-generated	AI-generated	generator	pairwise
1803.02324	0	150	0	2	0	0	0	1	9	0	0	0	0	0	1	0	0	0	0	0
1805.01042	0	341	2	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0
1808.04926	0	144	1	0	1	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0
2312.06942	211	1106	0	0	0	0	0	0	0	2	17	0	0	0	3	0	0	0	1	0
2506.05296	182	1086	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0
2510.09462	247	1115	0	0	0	0	0	0	7	0	22	1	0	0	1	0	0	0	0	0
2512.13526	351	849	0	0	0	0	0	0	1	2	13	0	0	0	4	0	0	0	0	0
2602.04930	163	597	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	1	0
2602.10153	140	729	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0
2605.15377	211	305	0	0	0	0	0	0	0	1	6	0	0	0	2	0	0	1	0	3
2605.26047	144	993	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0
2605.27157	27	307	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
2605.29178	154	768	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0
2606.06529	56	434	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
2607.06596	195	810	0	0	0	0	0	7	8	1	0	0	0	0	6	5	0	0	0	0
2607.14570	111	259	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2608.16190	145	293	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	5
